ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,member_casual
EB6A2CA385A64FD8,classic_bike,12/13/2021 7:12,12/13/2021 7:29,Ritchie Ct & Banks St,Franklin St & Monroe St,member
7E8C407A44EFDF07,electric_bike,12/01/2021 16:59,12/01/2021 17:11,Clark St & North Ave,Clark St & Newport St,member
67C2DACF7D875DAF,classic_bike,12/04/2021 15:29,12/04/2021 15:45,Clark St & North Ave,Clark St & Newport St,member
032DFCD6354DA9AA,electric_bike,12/02/2021 8:28,12/02/2021 8:38,LaSalle Dr & Huron St,N Carpenter St & W Lake St,member
7C85FEF7599AC78B,electric_bike,12/02/2021 13:15,12/02/2021 13:20,Burling St & Diversey Pkwy,Clark St & Newport St,casual
3A1B3E6228233F13,electric_bike,12/15/2021 12:53,12/15/2021 13:45,Paulina St & 18th St,Paulina St & 18th St,casual
A0A7435CD4B0A8A8,classic_bike,12/24/2021 10:17,12/24/2021 10:21,Manor Ave & Leland Ave,Western Ave & Leland Ave,member
1FC25741BA716B0E,docked_bike,12/13/2021 20:37,12/13/2021 20:51,Clarendon Ave & Leland Ave,Clark St & Newport St,casual
8BCD1EC866742462,electric_bike,12/14/2021 12:31,12/14/2021 12:34,Sheffield Ave & Wellington Ave,Clark St & Newport St,casual
6ED81C3B8A5C001C,classic_bike,12/27/2021 17:13,12/27/2021 17:43,New St & Illinois St,Clark St & Newport St,member
7ACAFC31EEFA6369,electric_bike,12/14/2021 12:48,12/14/2021 12:55,Columbus Dr & Randolph St,Clinton St & Lake St,member
7DC170A3B5167CD4,electric_bike,12/31/2021 15:38,12/31/2021 15:44,Smith Park,Ashland Ave & Grand Ave,member
49C63A095CC137BD,classic_bike,12/11/2021 8:54,12/11/2021 8:58,Sheffield Ave & Wellington Ave,Clark St & Newport St,casual
EC2591B3F34FFCEA,classic_bike,12/01/2021 12:20,12/01/2021 12:34,Lincoln Ave & Belmont Ave,Clark St & Newport St,member
95E0CAB60D2579B4,electric_bike,12/24/2021 12:34,12/24/2021 12:42,Lincoln Ave & Belmont Ave,Clark St & Newport St,member
0BC969A57240EC16,electric_bike,12/19/2021 12:29,12/19/2021 12:38,Sheridan Rd & Irving Park Rd,Clark St & Newport St,casual
914D9C97533D5DF3,classic_bike,12/14/2021 12:44,12/14/2021 13:01,Ashland Ave & Wrightwood Ave,Clark St & Newport St,member
187397728DC40ECC,classic_bike,12/31/2021 10:49,12/31/2021 11:06,Southport Ave & Clybourn Ave,Clark St & Newport St,member
A8A2804A059ECAF7,electric_bike,12/05/2021 11:59,12/05/2021 12:03,Lincoln Ave & Belmont Ave,Clark St & Newport St,member
10154ADBDC81CF7E,electric_bike,12/10/2021 23:45,12/10/2021 23:49,Aberdeen St & Monroe St,Clinton St & Lake St,member
22DA849F79961499,classic_bike,12/30/2021 19:07,12/30/2021 19:21,Halsted St & Clybourn Ave,Clinton St & Lake St,member
93FA8361E5F6F270,electric_bike,12/05/2021 16:36,12/05/2021 16:39,Sheridan Rd & Irving Park Rd,Clark St & Newport St,member
657937DB4B558F8F,classic_bike,12/16/2021 13:10,12/16/2021 13:32,Winthrop Ave & Lawrence Ave,Clark St & Newport St,member
7177D1A189CD8C14,classic_bike,12/19/2021 11:33,12/19/2021 11:48,Clark St & Armitage Ave,Clark St & Newport St,member
D837AB1C03839252,classic_bike,12/13/2021 15:42,12/13/2021 15:56,Lincoln Ave & Belmont Ave,Clark St & Newport St,casual
34DBBADF9D9E55A2,electric_bike,12/04/2021 20:37,12/04/2021 20:51,Milwaukee Ave & Grand Ave,Laflin St & Cullerton St,casual
9E79E479CA181DFE,electric_bike,12/18/2021 18:24,12/18/2021 18:30,Sheridan Rd & Irving Park Rd,Clark St & Newport St,member
05C6287F5E311AFD,docked_bike,12/12/2021 16:33,12/12/2021 16:39,Sheridan Rd & Irving Park Rd,Clark St & Newport St,casual
